"CAEN.Rev.2...activitati.ale.economiei.nationale...sectiuni.si.diviziuni.","Luni","UM..Lei.RON","Valoare"
"37 Colectarea si epurarea apelor uzate"," Luna mai 2000"," Lei RON",227
"37 Colectarea si epurarea apelor uzate"," Luna iunie 2000"," Lei RON",229
"37 Colectarea si epurarea apelor uzate"," Luna iulie 2000"," Lei RON",236
"37 Colectarea si epurarea apelor uzate"," Luna august 2000"," Lei RON",249
"37 Colectarea si epurarea apelor uzate"," Luna septembrie 2000"," Lei RON",257
"37 Colectarea si epurarea apelor uzate"," Luna octombrie 2000"," Lei RON",269
"37 Colectarea si epurarea apelor uzate"," Luna noiembrie 2000"," Lei RON",278
"37 Colectarea si epurarea apelor uzate"," Luna decembrie 2000"," Lei RON",336
"37 Colectarea si epurarea apelor uzate"," Luna ianuarie 2001"," Lei RON",303
"37 Colectarea si epurarea apelor uzate"," Luna februarie 2001"," Lei RON",292
"37 Colectarea si epurarea apelor uzate"," Luna martie 2001"," Lei RON",337
"37 Colectarea si epurarea apelor uzate"," Luna aprilie 2001"," Lei RON",389
"37 Colectarea si epurarea apelor uzate"," Luna mai 2001"," Lei RON",362
"37 Colectarea si epurarea apelor uzate"," Luna iunie 2001"," Lei RON",363
"37 Colectarea si epurarea apelor uzate"," Luna iulie 2001"," Lei RON",381
"37 Colectarea si epurarea apelor uzate"," Luna august 2001"," Lei RON",391
"37 Colectarea si epurarea apelor uzate"," Luna septembrie 2001"," Lei RON",384
"37 Colectarea si epurarea apelor uzate"," Luna octombrie 2001"," Lei RON",400
"37 Colectarea si epurarea apelor uzate"," Luna noiembrie 2001"," Lei RON",418
"37 Colectarea si epurarea apelor uzate"," Luna decembrie 2001"," Lei RON",466
"37 Colectarea si epurarea apelor uzate"," Luna ianuarie 2002"," Lei RON",471
"37 Colectarea si epurarea apelor uzate"," Luna februarie 2002"," Lei RON",417
"37 Colectarea si epurarea apelor uzate"," Luna martie 2002"," Lei RON",465
"37 Colectarea si epurarea apelor uzate"," Luna aprilie 2002"," Lei RON",495
"37 Colectarea si epurarea apelor uzate"," Luna mai 2002"," Lei RON",475
"37 Colectarea si epurarea apelor uzate"," Luna iunie 2002"," Lei RON",473
"37 Colectarea si epurarea apelor uzate"," Luna iulie 2002"," Lei RON",494
"37 Colectarea si epurarea apelor uzate"," Luna august 2002"," Lei RON",497
"37 Colectarea si epurarea apelor uzate"," Luna septembrie 2002"," Lei RON",495
"37 Colectarea si epurarea apelor uzate"," Luna octombrie 2002"," Lei RON",516
"37 Colectarea si epurarea apelor uzate"," Luna noiembrie 2002"," Lei RON",516
"37 Colectarea si epurarea apelor uzate"," Luna decembrie 2002"," Lei RON",587
"37 Colectarea si epurarea apelor uzate"," Luna ianuarie 2003"," Lei RON",582
"37 Colectarea si epurarea apelor uzate"," Luna februarie 2003"," Lei RON",503
"37 Colectarea si epurarea apelor uzate"," Luna martie 2003"," Lei RON",544
"37 Colectarea si epurarea apelor uzate"," Luna aprilie 2003"," Lei RON",609
"37 Colectarea si epurarea apelor uzate"," Luna mai 2003"," Lei RON",566
"37 Colectarea si epurarea apelor uzate"," Luna iunie 2003"," Lei RON",570
"37 Colectarea si epurarea apelor uzate"," Luna iulie 2003"," Lei RON",584
"37 Colectarea si epurarea apelor uzate"," Luna august 2003"," Lei RON",586
"37 Colectarea si epurarea apelor uzate"," Luna septembrie 2003"," Lei RON",586
"37 Colectarea si epurarea apelor uzate"," Luna octombrie 2003"," Lei RON",604
"37 Colectarea si epurarea apelor uzate"," Luna noiembrie 2003"," Lei RON",565
"37 Colectarea si epurarea apelor uzate"," Luna decembrie 2003"," Lei RON",660
"37 Colectarea si epurarea apelor uzate"," Luna ianuarie 2004"," Lei RON",691
"37 Colectarea si epurarea apelor uzate"," Luna februarie 2004"," Lei RON",629
"37 Colectarea si epurarea apelor uzate"," Luna martie 2004"," Lei RON",694
"37 Colectarea si epurarea apelor uzate"," Luna aprilie 2004"," Lei RON",736
"37 Colectarea si epurarea apelor uzate"," Luna mai 2004"," Lei RON",692
"37 Colectarea si epurarea apelor uzate"," Luna iunie 2004"," Lei RON",700
"37 Colectarea si epurarea apelor uzate"," Luna iulie 2004"," Lei RON",718
"37 Colectarea si epurarea apelor uzate"," Luna august 2004"," Lei RON",736
"37 Colectarea si epurarea apelor uzate"," Luna septembrie 2004"," Lei RON",742
"37 Colectarea si epurarea apelor uzate"," Luna octombrie 2004"," Lei RON",734
"37 Colectarea si epurarea apelor uzate"," Luna noiembrie 2004"," Lei RON",745
"37 Colectarea si epurarea apelor uzate"," Luna decembrie 2004"," Lei RON",850
"37 Colectarea si epurarea apelor uzate"," Luna ianuarie 2005"," Lei RON",869
"37 Colectarea si epurarea apelor uzate"," Luna februarie 2005"," Lei RON",778
"37 Colectarea si epurarea apelor uzate"," Luna martie 2005"," Lei RON",814
"37 Colectarea si epurarea apelor uzate"," Luna aprilie 2005"," Lei RON",911
"37 Colectarea si epurarea apelor uzate"," Luna mai 2005"," Lei RON",884
"37 Colectarea si epurarea apelor uzate"," Luna iunie 2005"," Lei RON",887
"37 Colectarea si epurarea apelor uzate"," Luna iulie 2005"," Lei RON",908
"37 Colectarea si epurarea apelor uzate"," Luna august 2005"," Lei RON",898
"37 Colectarea si epurarea apelor uzate"," Luna septembrie 2005"," Lei RON",891
"37 Colectarea si epurarea apelor uzate"," Luna octombrie 2005"," Lei RON",922
"37 Colectarea si epurarea apelor uzate"," Luna noiembrie 2005"," Lei RON",859
"37 Colectarea si epurarea apelor uzate"," Luna decembrie 2005"," Lei RON",935
"37 Colectarea si epurarea apelor uzate"," Luna ianuarie 2006"," Lei RON",962
"37 Colectarea si epurarea apelor uzate"," Luna februarie 2006"," Lei RON",891
"37 Colectarea si epurarea apelor uzate"," Luna martie 2006"," Lei RON",935
"37 Colectarea si epurarea apelor uzate"," Luna aprilie 2006"," Lei RON",1054
"37 Colectarea si epurarea apelor uzate"," Luna mai 2006"," Lei RON",1016
"37 Colectarea si epurarea apelor uzate"," Luna iunie 2006"," Lei RON",1022
"37 Colectarea si epurarea apelor uzate"," Luna iulie 2006"," Lei RON",1048
"37 Colectarea si epurarea apelor uzate"," Luna august 2006"," Lei RON",1035
"37 Colectarea si epurarea apelor uzate"," Luna septembrie 2006"," Lei RON",1050
"37 Colectarea si epurarea apelor uzate"," Luna octombrie 2006"," Lei RON",1049
"37 Colectarea si epurarea apelor uzate"," Luna noiembrie 2006"," Lei RON",1010
"37 Colectarea si epurarea apelor uzate"," Luna decembrie 2006"," Lei RON",1296
"37 Colectarea si epurarea apelor uzate"," Luna ianuarie 2007"," Lei RON",1168
"37 Colectarea si epurarea apelor uzate"," Luna februarie 2007"," Lei RON",1080
"37 Colectarea si epurarea apelor uzate"," Luna martie 2007"," Lei RON",1137
"37 Colectarea si epurarea apelor uzate"," Luna aprilie 2007"," Lei RON",1212
"37 Colectarea si epurarea apelor uzate"," Luna mai 2007"," Lei RON",1181
"37 Colectarea si epurarea apelor uzate"," Luna iunie 2007"," Lei RON",1180
"37 Colectarea si epurarea apelor uzate"," Luna iulie 2007"," Lei RON",1212
"37 Colectarea si epurarea apelor uzate"," Luna august 2007"," Lei RON",1233
"37 Colectarea si epurarea apelor uzate"," Luna septembrie 2007"," Lei RON",1221
"37 Colectarea si epurarea apelor uzate"," Luna octombrie 2007"," Lei RON",1266
"37 Colectarea si epurarea apelor uzate"," Luna noiembrie 2007"," Lei RON",1284
"37 Colectarea si epurarea apelor uzate"," Luna decembrie 2007"," Lei RON",1595
"37 Colectarea si epurarea apelor uzate"," Luna ianuarie 2008"," Lei RON",1517
"37 Colectarea si epurarea apelor uzate"," Luna februarie 2008"," Lei RON",1401
"37 Colectarea si epurarea apelor uzate"," Luna martie 2008"," Lei RON",1444
"37 Colectarea si epurarea apelor uzate"," Luna aprilie 2008"," Lei RON",1565
"37 Colectarea si epurarea apelor uzate"," Luna mai 2008"," Lei RON",1522
"37 Colectarea si epurarea apelor uzate"," Luna iunie 2008"," Lei RON",1518
"37 Colectarea si epurarea apelor uzate"," Luna iulie 2008"," Lei RON",1571
"37 Colectarea si epurarea apelor uzate"," Luna august 2008"," Lei RON",1546
"37 Colectarea si epurarea apelor uzate"," Luna septembrie 2008"," Lei RON",1587
"37 Colectarea si epurarea apelor uzate"," Luna octombrie 2008"," Lei RON",1605
"37 Colectarea si epurarea apelor uzate"," Luna noiembrie 2008"," Lei RON",1684
"37 Colectarea si epurarea apelor uzate"," Luna decembrie 2008"," Lei RON",1849
"37 Colectarea si epurarea apelor uzate"," Luna ianuarie 2009"," Lei RON",1756
"37 Colectarea si epurarea apelor uzate"," Luna februarie 2009"," Lei RON",1718
"37 Colectarea si epurarea apelor uzate"," Luna martie 2009"," Lei RON",1749
"37 Colectarea si epurarea apelor uzate"," Luna aprilie 2009"," Lei RON",1912
"37 Colectarea si epurarea apelor uzate"," Luna mai 2009"," Lei RON",1773
"37 Colectarea si epurarea apelor uzate"," Luna iunie 2009"," Lei RON",1770
"37 Colectarea si epurarea apelor uzate"," Luna iulie 2009"," Lei RON",1848
"37 Colectarea si epurarea apelor uzate"," Luna august 2009"," Lei RON",1790
"37 Colectarea si epurarea apelor uzate"," Luna septembrie 2009"," Lei RON",1857
"37 Colectarea si epurarea apelor uzate"," Luna octombrie 2009"," Lei RON",1848
"37 Colectarea si epurarea apelor uzate"," Luna noiembrie 2009"," Lei RON",1878
"37 Colectarea si epurarea apelor uzate"," Luna decembrie 2009"," Lei RON",1983
"37 Colectarea si epurarea apelor uzate"," Luna ianuarie 2010"," Lei RON",1858
"37 Colectarea si epurarea apelor uzate"," Luna februarie 2010"," Lei RON",1740
"37 Colectarea si epurarea apelor uzate"," Luna martie 2010"," Lei RON",1987
"37 Colectarea si epurarea apelor uzate"," Luna aprilie 2010"," Lei RON",1944
"37 Colectarea si epurarea apelor uzate"," Luna mai 2010"," Lei RON",1945
"37 Colectarea si epurarea apelor uzate"," Luna iunie 2010"," Lei RON",1917
"37 Colectarea si epurarea apelor uzate"," Luna iulie 2010"," Lei RON",1917
"37 Colectarea si epurarea apelor uzate"," Luna august 2010"," Lei RON",1899
"37 Colectarea si epurarea apelor uzate"," Luna septembrie 2010"," Lei RON",1868
"37 Colectarea si epurarea apelor uzate"," Luna octombrie 2010"," Lei RON",1903
"37 Colectarea si epurarea apelor uzate"," Luna noiembrie 2010"," Lei RON",2053
"37 Colectarea si epurarea apelor uzate"," Luna decembrie 2010"," Lei RON",2296
"37 Colectarea si epurarea apelor uzate"," Luna ianuarie 2011"," Lei RON",1976
"37 Colectarea si epurarea apelor uzate"," Luna februarie 2011"," Lei RON",1916
"37 Colectarea si epurarea apelor uzate"," Luna martie 2011"," Lei RON",2032
"37 Colectarea si epurarea apelor uzate"," Luna aprilie 2011"," Lei RON",2092
"37 Colectarea si epurarea apelor uzate"," Luna mai 2011"," Lei RON",2068
"37 Colectarea si epurarea apelor uzate"," Luna iunie 2011"," Lei RON",2028
"37 Colectarea si epurarea apelor uzate"," Luna iulie 2011"," Lei RON",2082
"37 Colectarea si epurarea apelor uzate"," Luna august 2011"," Lei RON",2071
"37 Colectarea si epurarea apelor uzate"," Luna septembrie 2011"," Lei RON",2067
"37 Colectarea si epurarea apelor uzate"," Luna octombrie 2011"," Lei RON",2028
"37 Colectarea si epurarea apelor uzate"," Luna noiembrie 2011"," Lei RON",2088
"37 Colectarea si epurarea apelor uzate"," Luna decembrie 2011"," Lei RON",2403
"37 Colectarea si epurarea apelor uzate"," Luna ianuarie 2012"," Lei RON",2086
"37 Colectarea si epurarea apelor uzate"," Luna februarie 2012"," Lei RON",2054
"37 Colectarea si epurarea apelor uzate"," Luna martie 2012"," Lei RON",2205
"37 Colectarea si epurarea apelor uzate"," Luna aprilie 2012"," Lei RON",2229
"37 Colectarea si epurarea apelor uzate"," Luna mai 2012"," Lei RON",2243
"37 Colectarea si epurarea apelor uzate"," Luna iunie 2012"," Lei RON",2170
"37 Colectarea si epurarea apelor uzate"," Luna iulie 2012"," Lei RON",2270
"37 Colectarea si epurarea apelor uzate"," Luna august 2012"," Lei RON",2207
"37 Colectarea si epurarea apelor uzate"," Luna septembrie 2012"," Lei RON",2109
"37 Colectarea si epurarea apelor uzate"," Luna octombrie 2012"," Lei RON",2160
"37 Colectarea si epurarea apelor uzate"," Luna noiembrie 2012"," Lei RON",2131
"37 Colectarea si epurarea apelor uzate"," Luna decembrie 2012"," Lei RON",2428
"37 Colectarea si epurarea apelor uzate"," Luna ianuarie 2013"," Lei RON",2209
"37 Colectarea si epurarea apelor uzate"," Luna februarie 2013"," Lei RON",2132
"37 Colectarea si epurarea apelor uzate"," Luna martie 2013"," Lei RON",2254
"37 Colectarea si epurarea apelor uzate"," Luna aprilie 2013"," Lei RON",2365
"37 Colectarea si epurarea apelor uzate"," Luna mai 2013"," Lei RON",2314
"37 Colectarea si epurarea apelor uzate"," Luna iunie 2013"," Lei RON",2208
"37 Colectarea si epurarea apelor uzate"," Luna iulie 2013"," Lei RON",2385
"37 Colectarea si epurarea apelor uzate"," Luna august 2013"," Lei RON",2250
"37 Colectarea si epurarea apelor uzate"," Luna septembrie 2013"," Lei RON",2196
"37 Colectarea si epurarea apelor uzate"," Luna octombrie 2013"," Lei RON",2289
"37 Colectarea si epurarea apelor uzate"," Luna noiembrie 2013"," Lei RON",2197
"37 Colectarea si epurarea apelor uzate"," Luna decembrie 2013"," Lei RON",2489
"37 Colectarea si epurarea apelor uzate"," Luna ianuarie 2014"," Lei RON",2269
"37 Colectarea si epurarea apelor uzate"," Luna februarie 2014"," Lei RON",2211
"37 Colectarea si epurarea apelor uzate"," Luna martie 2014"," Lei RON",2305
"37 Colectarea si epurarea apelor uzate"," Luna aprilie 2014"," Lei RON",2572
"37 Colectarea si epurarea apelor uzate"," Luna mai 2014"," Lei RON",2311
"37 Colectarea si epurarea apelor uzate"," Luna iunie 2014"," Lei RON",2344
"37 Colectarea si epurarea apelor uzate"," Luna iulie 2014"," Lei RON",2417
"37 Colectarea si epurarea apelor uzate"," Luna august 2014"," Lei RON",2295
"37 Colectarea si epurarea apelor uzate"," Luna septembrie 2014"," Lei RON",2339
"37 Colectarea si epurarea apelor uzate"," Luna octombrie 2014"," Lei RON",2323
"37 Colectarea si epurarea apelor uzate"," Luna noiembrie 2014"," Lei RON",2322
"37 Colectarea si epurarea apelor uzate"," Luna decembrie 2014"," Lei RON",2733
"37 Colectarea si epurarea apelor uzate"," Luna ianuarie 2015"," Lei RON",2331
"37 Colectarea si epurarea apelor uzate"," Luna februarie 2015"," Lei RON",2247
"37 Colectarea si epurarea apelor uzate"," Luna martie 2015"," Lei RON",2494
"37 Colectarea si epurarea apelor uzate"," Luna aprilie 2015"," Lei RON",2679
"37 Colectarea si epurarea apelor uzate"," Luna mai 2015"," Lei RON",2352
"37 Colectarea si epurarea apelor uzate"," Luna iunie 2015"," Lei RON",2460
"37 Colectarea si epurarea apelor uzate"," Luna iulie 2015"," Lei RON",2504
"37 Colectarea si epurarea apelor uzate"," Luna august 2015"," Lei RON",2379
"37 Colectarea si epurarea apelor uzate"," Luna septembrie 2015"," Lei RON",2421
"37 Colectarea si epurarea apelor uzate"," Luna octombrie 2015"," Lei RON",2424
"37 Colectarea si epurarea apelor uzate"," Luna noiembrie 2015"," Lei RON",2409
"37 Colectarea si epurarea apelor uzate"," Luna decembrie 2015"," Lei RON",3072
"37 Colectarea si epurarea apelor uzate"," Luna ianuarie 2016"," Lei RON",2504
"37 Colectarea si epurarea apelor uzate"," Luna februarie 2016"," Lei RON",2391
"37 Colectarea si epurarea apelor uzate"," Luna martie 2016"," Lei RON",2601
"37 Colectarea si epurarea apelor uzate"," Luna aprilie 2016"," Lei RON",2761
"37 Colectarea si epurarea apelor uzate"," Luna mai 2016"," Lei RON",2769
"37 Colectarea si epurarea apelor uzate"," Luna iunie 2016"," Lei RON",2671
"37 Colectarea si epurarea apelor uzate"," Luna iulie 2016"," Lei RON",2692
"37 Colectarea si epurarea apelor uzate"," Luna august 2016"," Lei RON",2706
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna ianuarie 2000"," Lei RON",166
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna februarie 2000"," Lei RON",167
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna martie 2000"," Lei RON",178
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna aprilie 2000"," Lei RON",196
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna mai 2000"," Lei RON",185
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna iunie 2000"," Lei RON",188
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna iulie 2000"," Lei RON",193
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna august 2000"," Lei RON",203
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna septembrie 2000"," Lei RON",209
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna octombrie 2000"," Lei RON",218
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna noiembrie 2000"," Lei RON",227
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna decembrie 2000"," Lei RON",272
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna ianuarie 2001"," Lei RON",245
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna februarie 2001"," Lei RON",234
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna martie 2001"," Lei RON",273
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna aprilie 2001"," Lei RON",319
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna mai 2001"," Lei RON",295
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna iunie 2001"," Lei RON",293
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna iulie 2001"," Lei RON",306
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna august 2001"," Lei RON",317
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna septembrie 2001"," Lei RON",308
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna octombrie 2001"," Lei RON",321
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna noiembrie 2001"," Lei RON",335
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna decembrie 2001"," Lei RON",369
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna ianuarie 2002"," Lei RON",348
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna februarie 2002"," Lei RON",325
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna martie 2002"," Lei RON",363
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna aprilie 2002"," Lei RON",389
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna mai 2002"," Lei RON",371
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna iunie 2002"," Lei RON",367
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna iulie 2002"," Lei RON",381
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna august 2002"," Lei RON",389
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna septembrie 2002"," Lei RON",384
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna octombrie 2002"," Lei RON",404
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna noiembrie 2002"," Lei RON",405
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna decembrie 2002"," Lei RON",457
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna ianuarie 2003"," Lei RON",460
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna februarie 2003"," Lei RON",407
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna martie 2003"," Lei RON",445
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna aprilie 2003"," Lei RON",494
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna mai 2003"," Lei RON",465
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna iunie 2003"," Lei RON",465
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna iulie 2003"," Lei RON",474
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna august 2003"," Lei RON",479
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna septembrie 2003"," Lei RON",480
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna octombrie 2003"," Lei RON",495
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna noiembrie 2003"," Lei RON",472
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna decembrie 2003"," Lei RON",539
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna ianuarie 2004"," Lei RON",546
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna februarie 2004"," Lei RON",520
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna martie 2004"," Lei RON",562
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna aprilie 2004"," Lei RON",606
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna mai 2004"," Lei RON",567
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna iunie 2004"," Lei RON",575
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna iulie 2004"," Lei RON",572
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna august 2004"," Lei RON",584
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna septembrie 2004"," Lei RON",603
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna octombrie 2004"," Lei RON",592
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna noiembrie 2004"," Lei RON",603
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna decembrie 2004"," Lei RON",689
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna ianuarie 2005"," Lei RON",675
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna februarie 2005"," Lei RON",620
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna martie 2005"," Lei RON",656
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna aprilie 2005"," Lei RON",728
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna mai 2005"," Lei RON",709
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna iunie 2005"," Lei RON",705
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna iulie 2005"," Lei RON",722
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna august 2005"," Lei RON",721
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna septembrie 2005"," Lei RON",715
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna octombrie 2005"," Lei RON",735
"38-39 Colectarea  tratarea si eliminarea deseurilor; activitati de recuperare a materialelor  reciclabile; Activitati si servicii de decontaminare"," Luna noiembrie 2005"," Lei RON",696
